<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2023.05.08 09:26	11182.00	11186.00	0.8942
2023.05.08 09:27	11182.00	11182.00	0.0000
2023.05.08 09:38	11194.00	11162.00	0.0000
2023.05.08 09:39	11194.00	11192.00	1.7874
2023.05.08 09:40	11194.00	11216.00	0.8918
2023.05.08 09:41	11195.00	11198.00	0.8932
2023.05.08 09:42	11195.00	11195.00	0.0000
2023.05.08 09:46	11197.00	11217.00	1.7835
2023.05.08 09:47	11197.00	11197.00	0.0000
2023.05.09 13:13	11205.00	11187.00	0.0000
2023.05.09 13:13	11205.00	11214.00	0.8919
2023.05.09 13:13	11206.00	11206.00	0.0000
2023.05.11 16:47	11158.00	11164.00	0.0000
2023.05.11 16:52	11158.00	11158.00	0.0000
2023.05.12 11:55	11179.00	11114.00	0.0000
2023.05.12 12:03	11179.00	11190.00	1.7878
2023.05.12 12:04	11179.00	11200.00	0.8930
2023.05.12 12:04	11180.00	11181.00	0.8946
2023.05.12 12:05	11180.00	11180.00	0.0000
2023.05.17 13:29	11193.00	11192.00	1.7874
2023.05.17 13:29	11193.00	11174.00	0.0000
2023.05.17 13:30	11193.00	11207.00	0.8925
2023.05.17 13:31	11194.00	11211.00	0.8922
2023.05.17 13:31	11194.00	11198.00	0.8932
2023.05.17 13:34	11194.00	11194.00	0.0000
2023.05.18 15:15	11209.00	11168.00	0.0000
2023.05.18 15:17	11209.00	11214.00	1.7839
2023.05.18 15:18	11209.00	11231.00	0.8906
2023.05.18 15:21	11210.00	11213.00	0.8920
2023.05.18 15:22	11210.00	11210.00	0.0000
2023.05.26 10:32	11233.00	11220.00	1.7830
2023.05.26 10:33	11233.00	11190.00	0.0000
2023.05.26 10:33	11233.00	11256.00	0.8886
2023.05.26 10:34	11234.00	11265.00	0.8879
2023.05.26 10:34	11234.00	11234.00	0.0000
2023.06.01 16:58	11252.00	11260.00	1.7766
2023.06.01 16:59	11252.00	11270.00	0.8875
2023.06.01 16:59	11253.00	11253.00	0.0000
2023.06.02 16:20	11215.00	11257.00	1.7771
2023.06.02 16:21	11215.00	11225.00	0.0000
2023.06.02 16:22	11215.00	11215.00	0.0000
2023.06.05 10:08	11217.00	11339.00	1.7643
2023.06.05 10:11	11217.00	11217.00	0.0000
2023.06.06 14:52	11219.00	11291.00	1.7718
2023.06.06 14:55	11219.00	11219.00	0.0000
2023.06.09 09:47	11155.00	11249.00	1.7784
2023.06.09 09:51	11155.00	11159.00	0.0000
2023.06.09 09:52	11155.00	11155.00	0.0000
2023.06.09 11:34	11168.00	11169.00	1.7911
2023.06.09 11:35	11168.00	11141.00	0.0000
2023.06.09 11:35	11168.00	11186.00	0.8942
2023.06.09 11:36	11169.00	11177.00	0.8949
2023.06.09 11:36	11169.00	11193.00	0.8936
2023.06.09 11:37	11169.00	11169.00	0.0000
2023.06.19 12:15	11193.00	11103.00	0.0000
2023.06.19 12:45	11193.00	11205.00	1.7854
2023.06.19 12:46	11193.00	11227.00	0.8909
2023.06.19 12:50	11194.00	11204.00	0.8927
2023.06.19 13:01	11194.00	11194.00	0.0000
2023.06.23 13:46	11206.00	11208.00	1.7849
2023.06.23 13:47	11206.00	11222.00	0.8913
2023.06.23 13:47	11207.00	11216.00	0.8918
2023.06.23 13:48	11207.00	11207.00	0.0000
2023.06.29 10:50	11163.00	11213.00	1.7841
2023.06.29 10:50	11163.00	11163.00	0.0000
2023.06.29 14:56	11165.00	11177.00	1.7898
2023.06.29 14:57	11165.00	11165.00	0.0000
2023.07.07 15:23	11167.00	11181.00	1.7892
2023.07.07 15:23	11167.00	11167.00	0.0000
2023.07.11 15:50	11139.00	11171.00	1.7908
2023.07.11 15:51	11139.00	11149.00	0.0000
2023.07.11 15:52	11139.00	11139.00	0.0000
2023.07.13 11:40	11141.00	11187.00	1.7882
2023.07.13 11:41	11141.00	11141.00	0.0000
2023.07.13 15:14	11123.00	11143.00	1.7953
2023.07.13 15:14	11123.00	11137.00	0.0000
2023.07.13 15:15	11123.00	11123.00	0.0000
2023.07.20 16:54	11089.00	11109.00	0.0000
2023.07.20 16:55	11089.00	11133.00	1.7969
2023.07.20 17:00	11089.00	11089.00	0.0000
2023.07.21 17:21	11099.00	11091.00	1.8037
2023.07.21 17:22	11099.00	11083.00	0.0000
2023.07.21 17:22	11099.00	11111.00	0.9002
2023.07.21 17:22	11100.00	11103.00	0.9008
2023.07.21 17:23	11100.00	11100.00	0.0000
2023.08.10 10:06	11102.00	11152.00	1.7938
2023.08.10 10:07	11102.00	11102.00	0.0000
2023.08.16 10:48	11104.00	11186.00	1.7884
2023.08.16 10:50	11104.00	11104.00	0.0000
2023.08.16 11:54	11106.00	11178.00	1.7897
2023.08.16 11:57	11106.00	11106.00	0.0000
2023.08.18 13:20	11113.00	11092.00	0.0000
2023.08.18 13:21	11113.00	11118.00	1.7993
2023.08.18 13:23	11113.00	11122.00	0.8993
2023.08.18 13:23	11114.00	11114.00	0.0000
2023.08.22 16:44	11072.00	11122.00	1.7987
2023.08.22 16:54	11072.00	11078.00	0.0000
2023.08.22 17:00	11072.00	11072.00	0.0000
2023.08.23 10:20	11088.00	11088.00	1.8042
2023.08.23 10:21	11088.00	11056.00	0.0000
2023.08.23 10:21	11088.00	11112.00	0.9001
2023.08.23 10:21	11089.00	11100.00	0.9011
2023.08.23 10:22	11089.00	11089.00	0.0000
